,p set [kPa],p actual [kPa],p std [kPa],zero [g],zero std [g],mp1 [g],mp1 std [g],mp2 [g],mp2 std [g],M_0 (extrap) [g],M_0 (prev) [g],M_0 (prev) std [g],M_infty (extrap) [g],M_infty (final) [g],M_infty (final) std [g],if tension [mN/m],if tension std [mN/m],drop volume [uL],drop volume std [uL],sample volume [mL],dissolved gas balance reading [g],buoyancy correction [g],actual weight of dissolved gas [g],actual weight of dissolved gas std [g],solubility [w/w],solubility error [w/w],specific volume [mL/g],specific volume error [mL/g],diffusivity (sqrt) [cm^2/s],diffusivity (sqrt) std [cm^2/s],diffusivity (exp) [cm^2/s],diffusivity (exp) std [cm^2/s],diffusion time constant [s]
0,0,0.1945,0.29712867582917674,-7e-05,1e-05,7.9667224999999995,1.089724735854102e-05,27.68832,1e-05,0.0,0.0,1e-05,0.0,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0
1,500,500.046,0.0,-0.00865,1e-05,7.942094,1e-05,27.62483,1e-05,0.0028691085398610122,0.0,1e-05,0.01035316604605343,0.010189201705396687,2.51128983851816e-05,24.372,0.09303762679690504,3.5664000000000002,0.01366162508635043,0.6752755696873345,-0.016048499999999244,0.02627335546771353,0.010224855467714285,2.51128983851816e-05,0.014721247906677917,0.00019872025147164727,0.9722288102828947,0.010302367363131861,3.7891834439843864e-06,4.312849775519616e-07,5.372854237939084e-06,6.068729282247135e-07,5082.202302510747
2,1000,994.9289999999999,1.1368683772161603e-13,-0.017480000000000002,1e-05,7.9168025,1e-05,27.558970000000002,1e-05,0.0003714212047420468,0.010189201705396687,2.51128983851816e-05,0.021414842123373783,0.021244916372952,2.906161566370053e-05,23.288,0.10703270528207738,3.6242000000000005,0.005979966555090202,0.6862196387564037,-0.03250999999999937,0.053808993329549915,0.021298993329550542,2.906161566370053e-05,0.030183997404792842,0.0003918056956846313,0.9724803174901159,0.009747138361182612,4.752297462898284e-06,5.320757814156254e-07,6.895981716695457e-06,7.739555369616176e-07,4089.0753706449373
3,1500,1489.9723,0.30674225336593375,-0.026789999999999998,1e-05,7.890075,1e-05,27.489440000000002,1e-05,0.0006418927519758592,0.021244916372952,2.906161566370053e-05,0.033399312139731185,0.03319068475884493,3.920563246299799e-05,22.056,0.06681317235396005,3.7030000000000003,0.004147288270665366,0.7011399266913974,-0.049927499999999014,0.08319072526148417,0.03326322526148516,3.920563246299799e-05,0.04635325322850376,0.0005972576408994526,0.9770584877159268,0.009732365082966266,6.707490881802573e-06,7.511075938570984e-07,7.77455103762313e-06,8.716666074637804e-07,3786.4219590513926
4,2000,1982.3343,0.05762126343644596,-0.03663,1e-05,7.861794999999999,1e-05,27.415975,1e-05,0.0012143996080222492,0.03319068475884493,3.920563246299799e-05,0.04627710748078403,0.04612082292135115,2.929117787421936e-05,20.614,0.05782732917920342,3.7933999999999997,0.025765092664300757,0.7182566021904256,-0.0683675000000008,0.11454005747609215,0.04617255747609135,2.929117787421936e-05,0.06320573490420903,0.0008723576375689161,0.9832233446187923,0.011821852602050417,8.362469964448888e-06,9.427146493265184e-07,8.386054136150099e-06,9.467730425110622e-07,3683.8040668851986
5,2500,2472.1965000000005,0.0572874331768941,-0.04716,1e-05,7.831662,1e-05,27.33788,1e-05,0.0015257140779767712,0.04612082292135115,2.929117787421936e-05,0.060136763673689315,0.05995791621892843,2.9073049668351647e-05,19.438,0.043543082114154405,3.8689999999999998,0.01887855926706272,0.7325709901077547,-0.08797049999999995,0.1479750503456277,0.06000455034562774,2.9073049668351647e-05,0.08061398842495868,0.0010765992184503584,0.9841831823894363,0.010903304090744127,8.812372817461073e-06,9.893478658167455e-07,8.34810613415626e-06,9.388030179681215e-07,3849.51842401567
6,3000,2959.6558,0.07097577051358625,-0.058289999999999995,1e-05,7.799462,1.166190378955375e-05,27.25443,1e-05,0.001469016853311178,0.05995791621892843,2.9073049668351647e-05,0.0750101795204817,0.07466485839475893,2.6560168336640708e-05,18.169999999999998,0.09165151389911687,3.928,0.014953260514015083,0.7437422716834482,-0.10904049999999899,0.18374845138787366,0.07470795138787467,2.6560168336640708e-05,0.09842328284774145,0.0012990754831624252,0.9798362103609044,0.010466113261210924,8.842018863632522e-06,9.908928564415261e-07,8.341014185750351e-06,9.367231024829639e-07,3971.1930829602
7,3500,3445.9158,0.38868002264082013,-0.070305,1e-05,7.764620000000001,1e-05,27.164450000000002,1e-05,0.002722241784774575,0.07466485839475893,2.6560168336640708e-05,0.09155426329953227,0.09133729727935873,3.997889362455893e-05,16.701999999999998,0.06615134163416547,4.0378,0.014076931483814347,0.764532216039569,-0.13186749999999847,0.22324931780631055,0.09138181780631208,3.997889362455893e-05,0.11780236597311658,0.0015549423508842255,0.9855757531878525,0.010464212479948163,1.0973732287705505e-05,1.2295323821180995e-06,9.928020420265997e-06,1.1140796028446544e-06,3525.525421413404
8,4000,3930.2006,0.26380871858220223,-0.08333,1e-05,7.72649,1.581138830080505e-05,27.066185,3.500000000045134e-05,0.0021817739071727906,0.09133729727935873,3.997889362455893e-05,0.1090526166317506,0.10927573049114767,5.445414113368933e-05,15.246,0.03929376540877715,4.1274,0.014691494137765665,0.7814974165341813,-0.1569724999999993,0.266283795956665,0.10931129595666572,5.445414113368933e-05,0.13773221595722518,0.0018324666166033812,0.9846866236657748,0.01053851904551936,1.1790292327258727e-05,1.3221419573507422e-06,1.2255008040579418e-05,1.376677354071651e-06,2984.2583938164103
9,4500,4415.434,0.3191338277273418,-0.097805,1e-05,7.683785,1.1180339887274289e-05,26.95731,1.000000000139778e-05,0.0032385699899168904,0.10927573049114767,5.445414113368933e-05,0.12939622761872094,0.1291683724411112,5.221902014993743e-05,13.762,0.017204650534084886,4.2252,0.017837040113202716,0.8000152358240594,-0.18520249999999905,0.3144623135818771,0.12925981358187805,5.221902014993743e-05,0.15887402591763844,0.0021561487139661,0.9833036099058449,0.01083998503619992,1.2959265650865372e-05,1.4544613118672154e-06,1.1218854387981801e-05,1.2584548796782898e-06,3416.197227799282
10,5000,4898.8535999999995,0.26380871858221644,-0.11419000000000001,1e-05,7.6351759999999995,1e-05,26.83437,1.000000000139778e-05,0.00430900549726038,0.1291683724411112,5.221902014993743e-05,0.152447391382927,0.15235224207826537,7.055569787674834e-05,12.206,0.050833060108555594,4.367400000000001,0.01959183503401375,0.8269399178590356,-0.2174265000000002,0.36982021020797406,0.15239371020797388,7.055569787674834e-05,0.18212937048752273,0.002517984232497436,0.9882956879593668,0.011107719562382164,1.5097248493899334e-05,1.6949953096155434e-06,1.2589778980116549e-05,1.4114931051695811e-06,3252.555669783557
11,5500,5289.9400000000005,0.27637800201894636,-0.12913999999999998,1e-05,7.5899350000000005,2.0615528128169505e-05,26.7207,2.999999999886427e-05,0.011175773916966747,0.15235224207826537,7.055569787674834e-05,0.17282238196455407,0.17270538580085323,4.0974761519650105e-05,10.939999999999998,0.006324555320336624,4.4608,0.01423235749972562,0.8446246246246247,-0.24771749999999937,0.42046449948973336,0.172746999489734,4.0974761519650105e-05,0.20155139577372475,0.0027763780170615058,0.9854600803533388,0.010726507674135305,1.1518039438805524e-05,1.2915231127591882e-06,1.2448494914280973e-05,1.3942300796136327e-06,3431.6703540541344
12,4650,4566.438,0.3798452316404125,-0.10265999999999999,1e-05,7.6697475,1.0897247358948544e-05,26.92094,6.999999999912632e-05,-0.006987440004461316,0.17270538580085323,4.0974761519650105e-05,0.1369935565531554,0.1366396156951737,4.413740415508165e-05,13.319999999999999,0.006324555320336624,4.2700000000000005,0.010039920318409076,0.8084978360713656,-0.19438499999999959,0.3309704098641978,0.1365854098641982,4.413740415508165e-05,0.16637988731731862,0.002208470686572397,0.9848619921820038,0.010310687199935076,2.6814039438753222e-05,2.997884088166085e-06,2.579988677988302e-05,2.884871153516234e-06,1517.1721252439138
13,3900,3837.4145,0.5032951917114754,-0.08063,1e-05,7.73449,1.2247448713814828e-05,27.08622,1e-05,-0.003749740116350686,0.1366396156951737,4.413740415508165e-05,0.10642513616743066,0.10608001228854468,6.070489182352893e-05,15.459999999999999,0.04774934554525361,4.1126000000000005,0.008777243302996725,0.778695128952482,-0.1516724999999992,0.2577326904791335,0.10606019047913429,6.070489182352893e-05,0.1341855000217636,0.0017517540263334269,0.9851914726058992,0.010144853402832896,1.8935069259435183e-05,2.1177786626926957e-06,1.8176758696992415e-05,2.032331011205343e-06,1997.6224285640744
14,3150,3103.4211,0.04903355993580576,-0.061529999999999994,1e-05,7.789904999999999,1.1180339887472892e-05,27.22907,1e-05,-0.0033757471768227506,0.10608001228854468,6.070489182352893e-05,0.07989658964761907,0.07987476797601241,3.185105842441297e-05,17.631999999999998,0.04166533331200013,3.9714,0.011774548823628009,0.751959790673026,-0.1153575,0.19518677801397333,0.07982927801397333,3.185105842441297e-05,0.10446549289834395,0.001362452969438576,0.9840230567867985,0.010255482850021659,1.213276692605189e-05,1.35812348424959e-06,1.1423632691096436e-05,1.2785133361934744e-06,2964.011861483777
15,2400,2365.2733,0.08888087533319923,-0.044555,1e-05,7.8388575000000005,1e-05,27.3558,1e-05,-0.0021410911554041816,0.07987476797601241,3.185105842441297e-05,0.05691482307730609,0.057115112549949984,3.7881344146271416e-05,19.598000000000003,0.0893084542470647,3.8536,0.008357032966310476,0.7296550962727434,-0.08337999999999912,0.1404708539085172,0.05709085390851809,3.7881344146271416e-05,0.07700095668486943,0.0009923496546879215,0.9841180612400849,0.010007926146529542,9.25444165475769e-06,1.0348492592350138e-06,8.65757056152135e-06,9.686342663162964e-07,3682.426877109947
16,1650,1622.2649999999999,2.2737367544323206e-13,-0.02924,1e-05,7.883007999999999,1e-05,27.470390000000002,1e-05,-0.0026057056957881734,0.057115112549949984,3.7881344146271416e-05,0.036664668719938176,0.03697460963737812,2.9369828059158327e-05,21.442,0.015999999999999927,3.7416000000000005,0.006086049621881154,0.7084485956544782,-0.05454450000000044,0.09148047397388334,0.0369359739738829,2.9369828059158327e-05,0.05120924033000834,0.0006561156076654547,0.9822162648798625,0.009856268532046767,7.905591126575799e-06,8.838667783011486e-07,7.331198477570242e-06,8.205424794809266e-07,4099.554283548868
17,900,877.9970999999999,0.04903355993601415,-0.015130000000000001,1e-05,7.9233275,1e-05,27.575200000000002,1e-05,-0.0030803730234729124,0.03697460963737812,2.9369828059158327e-05,0.01857166968877039,0.018944898867321588,3.243102812380923e-05,23.114,0.12690153663372228,3.6402,0.01309045453756274,0.689249138844727,-0.028334999999999333,0.04724631192457879,0.018911311924579455,3.243102812380923e-05,0.0268912727006039,0.0003513959674107106,0.9800899390401296,0.010308963980042057,6.8555784309506225e-06,7.677708813344381e-07,6.336198686097562e-06,7.109810090412874e-07,4489.713293706168
18,700,680.0009000000001,0.04903355993601415,-0.011559999999999999,1e-05,7.933425000000001,1e-05,27.60159,1e-05,-0.0005758535373202909,0.018944898867321588,3.243102812380923e-05,0.013868861876483483,0.014374835719549641,2.9604978961898355e-05,23.633999999999997,0.03826225293941832,3.6068,0.009019977827023889,0.6829250574103516,-0.021807499999998647,0.036143820329452646,0.014336320329453998,2.9604978961898355e-05,0.02051927082018695,0.00026777520019813215,0.9774561310620782,0.009963497663097651,6.96135690447951e-06,7.897480209303071e-07,5.784265085824268e-06,7.673539823648223e-07,4828.284351443605
19,480,481.7703,0.03209999999999127,-0.00809,1e-05,7.943284,1e-05,27.62743,1e-05,-0.0007345907467629418,0.014374835719549641,2.9604978961898355e-05,0.00936822531653857,0.009935247730098356,2.0391453889367448e-05,24.024,0.1259523719506711,3.5956,0.008979977728257415,0.6808044073485251,-0.015418499999999113,0.025337665574732843,0.00991916557473373,2.0391453889367448e-05,0.014287418658516257,0.00018985606677627566,0.9806205490840927,0.009993143189474517,6.7104747082655776e-06,7.582099618487387e-07,5.306488639949234e-06,8.378149228157255e-07,5230.369968353112
20,280,283.25079999999997,0.0524190804955736,-0.004685,1e-05,7.952889999999999,1e-05,27.65271,1e-05,-0.001388459946210127,0.009935247730098356,2.0391453889367448e-05,0.004807446434212897,0.005545961746018543,3.243387826926787e-05,24.369999999999997,0.07668115805072329,3.5768,0.006584831053261858,0.6772447447447447,-0.0092175000000001,0.014735880532147284,0.005518380532147184,3.243387826926787e-05,0.007999299457337457,0.0001130441017488429,0.9817161914735437,0.009864984846519407,6.803402565343739e-06,7.695602433235449e-07,4.333836623631679e-06,8.934269968107044e-07,6337.437412543162
21,230,233.8055,0.05349999999999966,-0.0039,1e-05,7.95512,1e-05,27.65881,1e-05,-0.0002886825092516419,0.005545961746018543,3.243387826926787e-05,0.004406211791476961,0.004377515583629264,2.8217493553931192e-05,24.511999999999997,0.054184868736576165,3.5753999999999997,0.00958331884056872,0.6769796634870163,-0.007772499999999738,0.012133451458742762,0.0043609514587430245,2.8217493553931192e-05,0.006332144614846377,9.52100045651887e-05,0.9829811615801397,0.010061420289310386,1.0143657830856288e-05,1.3599574065848612e-06,1.4541461072155912e-05,2.6365472244274538e-06,1887.2877958335553
22,180,183.4303,0.03209999999999127,-0.00303,1e-05,7.9575225,1e-05,27.66511,1e-05,-0.00032836595185893006,0.004377515583629264,2.8217493553931192e-05,0.002940067264139556,0.0032621518740308577,2.1336368680248135e-05,24.686,0.08014985963805536,3.561,0.012066482503198623,0.6742531134075253,-0.006240000000000023,0.009487466083188505,0.0032474660831884813,2.1336368680248135e-05,0.004722988935248347,7.708150097684368e-05,0.9806076222523136,0.010240775788615533,1.2042926746964725e-05,1.5603108747785664e-06,7.5042738412595315e-06,2.574052560768422e-06,3627.706796234896
23,130,129.8668,0.0078076885183724545,-0.002175,1e-05,7.9600175,1e-05,27.67173,1e-05,-5.1339672585674015e-05,0.0032621518740308577,2.1336368680248135e-05,0.0016551995967635103,0.002137367214602169,3.898495100496255e-05,24.540000000000003,0.05138093031466094,3.5692,0.004308131845707772,0.675805732202791,-0.004599999999999049,0.00670355110486388,0.0021035511048648307,3.898495100496255e-05,0.003064421453860961,5.765039920686969e-05,0.9845035756987338,0.00979740371090816,8.60033232905747e-06,1.180421488161455e-06,5.536211483553933e-06,2.9494288482610193e-06,4939.98922595988
24,80,79.93560000000002,0.004176122603563335,-0.0013,1e-05,7.9623575,1e-05,27.67792,1e-05,-0.00015263863595544325,0.002137367214602169,3.898495100496255e-05,0.0008789676097199697,0.0010114397194743174,2.9768051076145284e-05,24.717999999999996,0.07884161337770801,3.5555999999999996,0.004029888335921978,0.6732306571277159,-0.003134999999999444,0.004112941460395467,0.000977941460396023,2.9768051076145284e-05,0.0014269902751090143,4.223897709289492e-05,0.9823630958825117,0.009767515569882437,1.1278033890988199e-05,1.6256020568275444e-06,9.794720292855932e-06,2.2978068917545462e-06,2770.962584106297
